ID,NOME
99999,ALTRI UFFICI
01923,AVVOCATURA REGIONALE                                  
50007,D.G.  AVVOCATURA                                      
50073,D.G. COMPETITIVITA' DEL SISTEMA REGIONALE E SVILUPPO D
50079,D.G. DIRITTI DI CITTADINANZA E COESIONE SOCIALE       
50102,D.G. ORGANIZZAZIONE                                   
50069,D.G. ORGANIZZAZIONE E RISORSE                         
50083,"D.G. POLITICHE TERRITORIALI, AMBIENTALI E PER LA MOBIL"
50000,D.G. PRESIDENZA                                       
01027,DIPARTIMENTO BILANCIO E FINANZE                       
01025,DIPARTIMENTO ORGANIZZAZIONE                           
01931,DIPARTIMENTO ORGANIZZAZIONE E RISORSE                 
01946,DIPARTIMENTO POLITICHE FORMATIVE E BENI CULTURALI     
01937,DIPARTIMENTO POLITICHE TERRITORIALI E AMBIENTALI      
01928,DIPARTIMENTO PRESIDENZA AFFARI LEGISLATIVI E GIURIDICI
01943,DIPARTIMENTO SALUTE E POLITICHE SOLIDARIETA           
01934,DIPARTIMENTO SVILUPPO ECONOMICO                       
50113,"DIREZIONE AFFARI LEGISLATIVI, GIURIDICI ED ISTITUZIONALI"
50117,DIREZIONE AGRICOLTURA E SVILUPPO RURALE
50118,DIREZIONE AMBIENTE ED ENERGIA
50123,DIREZIONE ATTIVITA' PRODUTTIVE
50124,DIREZIONE CULTURA E RICERCA
50119,DIREZIONE DIFESA DEL SUOLO E PROTEZIONE CIVILE
50116,DIREZIONE DIRITTI DI CITTADINANZA E COESIONE SOCIALE
50002,DIREZIONE GENERALE BILANCIO E FINANZE                 
50112,DIREZIONE GENERALE DIREZIONE GENERALE DELLA GIUNTA REGIONALE
50005,DIREZIONE GENERALE DIRITTO ALLA SALUTE E POLITICHE DI 
50200,DIREZIONE GENERALE GOVERNO DEL TERRITORIO
50001,DIREZIONE GENERALE ORGANIZZAZIONE E SISTEMA INFORMATIV
50006,"DIREZIONE GENERALE POLITICHE FORMATIVE, BENI E ATTIVIT"
50201,"DIREZIONE GENERALE POLITICHE MOBILITA', INFRASTRUTTURE E TRASPORTO PUBBLICO LOCALE"
50004,DIREZIONE GENERALE POLITICHE TERRITORIALI E AMBIENTALI
50026,DIREZIONE GENERALE SEGRETERIE ORGANI POLITICI DELLA GIUNTA
50003,DIREZIONE GENERALE SVILUPPO ECONOMICO                 
50125,DIREZIONE ISTRUZIONE E FORMAZIONE
50127,DIREZIONE LAVORO
50115,DIREZIONE ORGANIZZAZIONE E SISTEMI INFORMATIVI
50121,"DIREZIONE POLITICHE MOBILITA', INFRASTRUTTURE E TRASPORTO PUBBLICO LOCALE"
50114,DIREZIONE PROGRAMMAZIONE E BILANCIO
50122,"DIREZIONE URBANISTICA, CASA E POLITICHE ABITATIVE"
50202,"POLITICHE AMBIENTALI, ENERGIA E CAMBIAMENTI CLIMATICI"
50044,SEGRETERIE ORGANI POLITICI UFFICIO DI GABINETTO
02090,UFFICI DEL GENIO CIVILE                               
